cve_ent,cve_mun,cve_loc,cve_ageb,nomloc
8,19,277,429A,Ejido Nuevo Delicias y Anexas (Tierras Nuevas)
8,19,279,4406,Nuevo Majalca
8,19,300,441,El Sauz
8,19,329,4228,Estación Ojo Laguna
8,19,374,4529,Rancho el Tarín
8,19,490,4406,San Isidro (Los Hoyos)
8,19,1038,5743,La Puerta de Chihuahua
8,19,1397,4463,Granjas Sacramento
8,20,450,391,Guasachi
8,21,106,810,El Ochenta y Dos
8,21,371,793,Colonia Terrazas
8,26,17,41,El Nogalito
8,29,541,1569,El Bajío Largo de Atascaderos
8,31,61,893,Loya
8,36,75,1703,Ejido Lote Ocho (Lugo)
8,36,286,1811,El Predio
8,38,10,574,El Carrizo
8,38,12,574,Colonia Esperanza
8,38,41,574,La Regina
8,40,44,1195,Las Varas (Estación Babícora)
8,45,7,348,Estación Consuelo
8,48,44,890,Nuevo Namiquipa
8,52,55,1054,San Juan
8,54,22,328,Campo Cincuenta y Cinco (La Cordovana)
8,54,47,277,Campo Ochenta y Cuatro
8,54,97,332,Campo Treinta y Ocho y Medio
8,54,178,277,La Nueva Paz
8,62,3,565,Las Alvareñas
8,62,4,565,Ancón de Carros
8,62,8,064A,Estación Conchos
8,62,9,531,La Cuadra
8,62,15,531,El Indio
8,62,34,565,San Marcos
8,62,350,565,Ampliación Colonia Altamirano
8,62,619,531,Piedra de Lumbre
8,67,9,576,El Campamento
8,67,41,557,El Sepulvedeño
8,67,77,576,El Toro (La Gallina)
9,9,185,539,Zacazontlipac
9,13,273,902,Zacazontlipac
10,1,49,800,Francisco Zarco (Las Delicias)
10,1,100,849,La Plazuela (El Rayo)
10,1,104,075A,El Progreso (Los Pinos)
10,1,108,800,Manuel Jiménez (Rancho Seco)
10,3,7,171,Las Morenas (La Rosa)
10,4,15,802,Los Cuatillos (Hacienda de Pedriceña)
10,4,44,770,Pedriceña (Estación Pedriceña)
10,5,138,3274,Belisario Domínguez
10,5,149,3151,Cinco de Febrero
10,5,180,3359,General Felipe Ángeles (Ejido)
10,5,187,3039,Colonia Hidalgo
10,5,194,3274,José Refugio Salcido
10,5,197,2914,Juan B. Ceballos
10,5,211,3359,Minerva (Colonia)
10,5,222,3077,Nueva Patria (Santo Domingo)
10,5,279,333A,Sebastián Lerdo de Tejada
10,5,292,3344,Veintiocho de Septiembre
10,5,345,301A,Residencial Los Arcos [Fraccionamiento]
10,5,1108,333A,Fraccionamiento el Pilar
10,5,1243,3132,Los Chirimoyos [Fraccionamiento]
10,5,1379,301A,Fraccionamiento Campestre las Granjas Uno
10,5,1687,301A,Los Cedros [Fraccionamiento]
10,6,6,421,La Granja
10,6,10,332,Oriente Aguanaval
10,6,16,281,San Luis de Corea
10,6,30,313,La Prontitud
10,7,49,108A,La Competencia
10,7,107,1075,Nazas (Las Lagartijas)
10,7,162,108A,Vicente Nava
10,7,302,1056,El Barro 33 (El Treinta y Tres)
10,8,4,445,Felipe Carrillo Puerto (Tarabillas)
10,8,11,426,José María Pino Suárez (Providencia)
10,9,45,089A,José María Morelos
10,9,72,705,San Francisco de los Remedios (Las Pintas)
10,11,24,366,Rancho de Peña
10,11,33,366,San Antonio del Cuervo (El Cuervo)
10,12,3,838,Los Ángeles
10,12,22,819,Juan E. García
10,12,26,791,La Mina (El Sarnoso)
10,12,44,823,San Jacinto
10,12,49,861,Sapioris
10,12,193,908,Nazareno de Abajo
10,12,465,857,Colonia Buenos Aires
10,12,560,838,Dolores (La Borrega)
10,12,561,838,La Goleta
10,12,606,838,Fortuna de Rancho Güero
10,13,130,1443,San José de Bellavista
10,13,177,1157,Estación Yermo
10,13,234,996,El Milagro
10,14,5,902,La Joya de Atotonilco (Atotonilco)
